X;Y;ID
4377876.51601924;3708331.72992566;68
4378271.87912635;3709010.71358858;69
4378667.26894211;3709689.708481;70
4379062.68546383;3710368.71459477;71
4379458.12868882;3711047.73192174;72
4379853.59861438;3711726.76045374;73
4380249.09523784;3712405.80018265;74
4380644.61855647;3713084.85110027;75
4381040.1685676;3713763.91319847;76
4381435.74526852;3714442.98646909;77
4381831.34865654;3715122.07090395;78
4382226.97872895;3715801.16649491;79
4382622.63548306;3716480.27323379;80
4383018.31891617;3717159.39111243;81
4383414.02902556;3717838.52012266;82
4383809.76580855;3718517.66025632;83
4384205.52926242;3719196.81150525;84
4384601.31938447;3719875.97386126;85
4384997.13617199;3720555.14731619;86
4385392.97962228;3721234.33186188;87
4385788.84973262;3721913.52749012;88
4386184.74650031;3722592.73419277;89
4386580.66992264;3723271.95196164;90
4386976.61999689;3723951.18078855;91
4387372.59672035;3724630.42066533;92
4387768.60009031;3725309.67158379;93
4388164.63010406;3725988.93353575;94
4388560.68675886;3726668.20651303;95
4388956.77005202;3727347.49050745;96
4389352.87998081;3728026.78551081;97
4389749.01654252;3728706.09151494;98
4390145.17973441;3729385.40851163;99
4390541.36955378;3730064.73649272;100
4390937.5859979;3730744.07545001;101
4391333.82906404;3731423.42537529;102
4391730.09874948;3732102.78626038;103
4392126.39505151;3732782.1580971;104
4392522.71796737;3733461.54087722;105
4392919.06749437;3734140.93459256;106
4393315.44362975;3734820.33923493;107
4393711.8463708;3735499.75479612;108
4394108.27571479;3736179.18126794;109
4394504.73165898;3736858.61864218;110
4394901.21420063;3737538.06691063;111
4395297.72333703;3738217.52606508;112
4395694.25906542;3738896.99609735;113
4396090.82138308;3739576.47699921;114
4396487.41028727;3740255.96876246;115
4396884.02577524;3740935.4713789;116
4397280.66784427;3741614.98484028;117
4397677.33649162;3742294.50913844;118
4398074.03171453;3742974.04426512;119
4398470.75351028;3743653.59021214;120
4398867.5018761;3744333.14697126;121
4399264.27680928;3745012.71453427;122
4399661.07830704;3745692.29289295;123
4400057.90636666;3746371.88203908;124
4400454.76098538;3747051.48196444;125
4400851.64216045;3747731.09266081;126
4401248.54988914;3748410.71411995;127
4401645.48416867;3749090.34633365;128
4402042.44499631;3749769.98929369;129
4402439.43236931;3750449.64299181;130
4402836.44628489;3751129.30741981;131
4403233.48674033;3751808.98256945;132
4403630.55373285;3752488.66843249;133
4404027.6472597;3753168.36500072;134
4404424.76731812;3753848.07226587;135
4404821.91390536;3754527.79021974;136
4405219.08701866;3755207.51885407;137
4405616.28665524;3755887.25816063;138
4406013.51281236;3756567.00813117;139
4406410.76548726;3757246.76875746;140
4406808.04467715;3757926.54003127;141
4407205.35037928;3758606.32194433;142
4407602.6825909;3759286.11448839;143
4408000.04130922;3759965.91765524;144
4408397.42653147;3760645.7314366;145
4408794.8382549;3761325.55582423;146
4409192.27647673;3762005.39080989;147
4409589.74119419;3762685.23638532;148
4409987.2324045;3763365.09254228;149
4410384.7501049;3764044.95927249;150
4410782.2942926;3764724.83656771;151
4411179.86496485;3765404.72441968;152
4411577.46211884;3766084.62282016;153
4411975.08575182;3766764.53176086;154
4412372.735861;3767444.45123355;155
4412770.4124436;3768124.38122994;156
4413168.11549684;3768804.32174179;157
4413565.84501794;3769484.27276082;158
4413963.60100412;3770164.23427878;159
4414361.38345259;3770844.20628739;160
4414759.19236057;3771524.18877838;161
4415157.02772527;3772204.18174349;162
4415554.88954391;3772884.18517446;163
4415952.77781369;3773564.19906299;164
4416350.69253183;3774244.22340082;165
4416748.63369555;3774924.25817969;166
4417146.60130204;3775604.3033913;167
4417544.59534852;3776284.35902739;168
4417942.61583219;3776964.42507967;169
4418340.66275026;3777644.50153986;170
4418738.73609994;3778324.5883997;171
